1	Mary	Smith	mary.smith@customer.org	5	t
2	Patricia	Johnson	patricia.johnson@customer.org	6	t
3	Linda	Williams	linda.williams@customer.org	7	t
4	Barbara	Jones	barbara.jones@customer.org	8	t
5	Elizabeth	Brown	elizabeth.brown@customer.org	9	t
6	Jennifer	Davis	jennifer.davis@customer.org	10	t
7	Maria	Miller	maria.miller@customer.org	11	t
8	Susan	Wilson	susan.wilson@customer.org	12	t
9	Margaret	Moore	margaret.moore@customer.org	13	t
10	Dorothy	Taylor	dorothy.taylor@customer.org	14	t
11	Lisa	Anderson	lisa.anderson@customer.org	15	t
12	Nancy	Thomas	nancy.thomas@customer.org	16	t
13	Karen	Jackson	karen.jackson@customer.org	17	t
14	Betty	White	betty.white@customer.org	18	t
15	Helen	Harris	helen.harris@customer.org	19	t
16	Sandra	Martin	sandra.martin@customer.org	20	t
17	Donna	Thompson	donna.thompson@customer.org	21	t
18	Carol	Garcia	carol.garcia@customer.org	22	t
19	Ruth	Martinez	ruth.martinez@customer.org	23	t
20	Sharon	Robinson	sharon.robinson@customer.org	24	t
21	Michelle	Clark	michelle.clark@customer.org	25	t
22	Laura	Rodriguez	laura.rodriguez@customer.org	26	t
23	Sarah	Lewis	sarah.lewis@customer.org	27	t
24	Kimberly	Lee	kimberly.lee@customer.org	28	t
25	Deborah	Walker	deborah.walker@customer.org	29	t
26	Jessica	Hall	jessica.hall@customer.org	30	f
27	Shirley	Allen	shirley.allen@customer.org	31	t
28	Cynthia	Young	cynthia.young@customer.org	32	t
29	Angela	Hernandez	angela.hernandez@customer.org	33	t
30	Melissa	King	melissa.king@customer.org	34	t
31	Brenda	Wright	brenda.wright@customer.org	35	t
32	Amy	Lopez	amy.lopez@customer.org	36	t
33	Anna	Hill	anna.hill@customer.org	37	f
34	Rebecca	Scott	rebecca.scott@customer.org	38	f
35	Virginia	Green	virginia.green@customer.org	39	t
36	Kathleen	Adams	kathleen.adams@customer.org	40	t
37	Pamela	Baker	pamela.baker@customer.org	41	t
38	Martha	Gonzalez	martha.gonzalez@customer.org	42	t
39	Debra	Nelson	debra.nelson@customer.org	43	t
40	Amanda	Carter	amanda.carter@customer.org	44	t
41	Stephanie	Mitchell	stephanie.mitchell@customer.org	45	t
42	Carolyn	Perez	carolyn.perez@customer.org	46	t
43	Christine	Roberts	christine.roberts@customer.org	47	t
44	Marie	Turner	marie.turner@customer.org	48	t
45	Janet	Phillips	janet.phillips@customer.org	49	t
46	Catherine	Campbell	catherine.campbell@customer.org	50	t
47	Frances	Parker	frances.parker@customer.org	51	t
48	Ann	Evans	ann.evans@customer.org	52	t
49	Joyce	Edwards	joyce.edwards@customer.org	53	t
50	Diane	Collins	diane.collins@customer.org	54	t
51	Alice	Stewart	alice.stewart@customer.org	55	t
52	Julie	Sanchez	julie.sanchez@customer.org	56	t
53	Heather	Morris	heather.morris@customer.org	57	t
54	Teresa	Rogers	teresa.rogers@customer.org	58	t
55	Doris	Reed	doris.reed@customer.org	59	t
56	Gloria	Cook	gloria.cook@customer.org	60	t
57	Evelyn	Morgan	evelyn.morgan@customer.org	61	t
58	Jean	Bell	jean.bell@customer.org	62	t
59	Cheryl	Murphy	cheryl.murphy@customer.org	63	t
60	Mildred	Bailey	mildred.bailey@customer.org	64	t
61	Katherine	Rivera	katherine.rivera@customer.org	65	t
62	Joan	Cooper	joan.cooper@customer.org	66	t
63	Ashley	Richardson	ashley.richardson@customer.org	67	t
64	Judith	Cox	judith.cox@customer.org	68	t
65	Rose	Howard	rose.howard@customer.org	69	t
66	Janice	Ward	janice.ward@customer.org	70	t
67	Kelly	Torres	kelly.torres@customer.org	71	t
68	Nicole	Peterson	nicole.peterson@customer.org	72	t
69	Judy	Gray	judy.gray@customer.org	73	t
70	Christina	Ramirez	christina.ramirez@customer.org	74	t
71	Kathy	James	kathy.james@customer.org	75	t
72	Theresa	Watson	theresa.watson@customer.org	76	t
73	Beverly	Brooks	beverly.brooks@customer.org	77	t
74	Denise	Kelly	denise.kelly@customer.org	78	t
75	Tammy	Sanders	tammy.sanders@customer.org	79	t
